JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458839.80432,13.928,0.014,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.265,Z,18.538,18.176,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.80613,13.950,0.014,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.275,Z,18.540,18.174,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.80795,13.928,0.014,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.285,Z,18.543,18.170,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.80979,13.928,0.015,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.295,Z,18.554,18.172,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.81163,13.950,0.014,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.306,Z,18.545,18.169,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.81345,13.917,0.014,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.317,Z,18.552,18.176,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.81440,13.953,0.014,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.323,Z,18.548,18.193,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.81513,13.934,0.014,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.327,Z,18.553,18.189,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.81580,12.431,0.020,,I,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 12.510  K = 12.121,0,1.332,Z,19.613,19.239,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.81637,12.406,0.021,,I,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 12.510  K = 12.121,0,1.335,Z,19.642,19.211,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.81745,15.227,0.025,,B,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.822  K = 13.403,0,1.342,Z,18.815,18.394,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.81889,15.305,0.026,,B,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.822  K = 13.403,0,1.352,Z,18.821,18.400,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458840.57841,14.007,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.225,Z,18.539,18.221,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458840.58216,13.984,0.014,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.208,Z,18.541,18.215,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458840.58591,13.985,0.014,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.192,Z,18.534,18.216,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458840.58966,13.966,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.177,Z,18.536,18.196,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458840.59340,13.996,0.014,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.163,Z,18.533,18.209,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458840.59716,14.005,0.014,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.149,Z,18.512,18.200,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
