HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457617.88166,2016-08-17.3836310,be,1.41,15.797,13.583,0.028,14.153,0.370,V
2457619.92185,2016-08-19.4237226,be,1.89,13.586,>13.586,99.990,13.308,2.827,V
2457619.92313,2016-08-19.4250067,be,1.74,14.794,13.517,0.068,15.047,0.930,V
2457619.92442,2016-08-19.4262946,be,1.79,15.018,13.649,0.062,13.316,0.756,V
2457620.86860,2016-08-20.3704298,be,2.41,15.720,13.605,0.031,13.877,0.397,V
2457620.86989,2016-08-20.3717135,be,2.37,15.805,13.635,0.030,13.486,0.367,V
2457620.87128,2016-08-20.3731010,be,2.39,15.765,13.612,0.030,13.769,0.381,V
2457621.86880,2016-08-21.3705737,be,1.47,15.977,13.676,0.026,12.992,0.313,V
2457621.87004,2016-08-21.3718153,be,1.47,15.879,13.640,0.028,13.414,0.343,V
2457621.87133,2016-08-21.3731041,be,1.46,15.859,13.647,0.028,13.340,0.348,V
2457623.86584,2016-08-23.3675217,be,1.70,16.065,13.649,0.024,13.308,0.290,V
2457623.86713,2016-08-23.3688033,be,1.67,15.999,13.609,0.024,13.817,0.308,V
